StoreNumber,OwnershipTypeCode,StreetAddress,City,PostalCode,Latitude,Longitude
18025-180145,Company Owned,2-40 Tomisuharacho,Yokkaichi,510-8016,35.007414,136.657214
1834-139044,Company Owned,300 Shinhamacho,Kusatsu,525-0067,34.997662,135.918096
65327-299654,Company Owned,1-3-21 Hinagahigashi,Yokkaichi,510-0886,34.952108,136.611646
58925-293164,Company Owned,4-5-1 Tomarikoyanagicho,Yokkaichi,510-0883,34.938156,136.601235
62774-295398,Company Owned,8-1 Heisei,Kitagata-cho,501-0438,35.433599,136.678732
66172-300688,Company Owned,3-3-6 Yanaizucho Maruno,Gifu,501-6115,35.364517,136.727261
59571-292757,Company Owned,1-1 Nihonmatsu,Otsu,520-0021,35.029444,135.864008
31043-105207,Company Owned,1100 Mitsuhashi,Motosu,501-0497,35.454894,136.673451
30403-81163,Company Owned,4-1-2 Shonohayama,Suzuka,513-0834,34.871941,136.531754
55021-286003,Company Owned,77-1 Sakuragi Miyamaecho,Inazawa,492-8273,35.252943,136.777125
29764-255191,Company Owned,28-1 Hamagurida Otsubocho,Tsushima,496-0012,35.161652,136.775416
60747-293275,Company Owned,57 Junikami Zentashindencho,Aisai,496-0924,35.121179,136.766097
25068-239832,Company Owned,1-3 Kasugacho,Otsu,520-0055,35.003407,135.864488
16084-296751,Company Owned,368 Urayasu Nagashimacho,Kuwana,511-1135,35.029181,136.725702
49034-262444,Licensed,417-1 Sanjocho,Suzuka,513-0824,34.874401,136.552165
22040-217125,Company Owned,2-14-1 Akanabenose,Gifu,500-8283,35.376927,136.746333
60741-292315,Company Owned,131 Yonnotori Kisogawacho-stowariden,Ichinomiya,493-0007,35.33547,136.772325
30550-94562,Company Owned,25-1 Minamiyatsugaike Kisogawachokuroda,Ichinomiya,493-0001,35.349235,136.773832
47628-259072,Licensed,3-1-1 Sakae,Ichinomiya,491-0858,35.302946,136.796776
22390-220727,Licensed,1-10-1 Hashimotocho,Gifu,500-8856,35.409541,136.757704
1847-141685,Company Owned,2-3-8 Masakinaka,Gifu,502-0882,35.448947,136.742171
1866-143385,Company Owned,7-1-2 Nagano,Inazawa,492-8601,35.26087,136.8191
28476-250730,Company Owned,40-5 Tsukasamachi,Gifu,500-8076,35.427107,136.75962
21502-212624,Company Owned,1-2 Ryogocho,Ichinomiya,491-0022,35.310637,136.816475
57924-292057,Company Owned,3-1-12 Fuji,Ichinomiya,491-0024,35.302146,136.819503
30384-75100,Company Owned,5 Anshunakakoujicho Yamashina-ku,Kyoto,607-8013,34.992323,135.817038
9049-151885,Company Owned,1-61 Terashimahonchonishi,Tokushima,770-0831,34.074133,134.551418
62771-296749,Company Owned,2-1-8 Kitatamiya,Tokushima,770-0003,34.087076,134.54414
15927-162424,Company Owned,2-5 Okinohama,Tokushima,770-8052,34.052839,134.55267
49795-270178,Company Owned,4-1 Minamisuehirocho,Tokushima,770-0865,34.061485,134.573113
16425-165467,Company Owned,88-1 Higashinakazu Okuno,Aizumi-cho,771-1202,34.119514,134.500224
31228-106787,Company Owned,1750-1 Ikenobe,Miki-cho,761-0793,34.292147,134.12286
4178-147764,Company Owned,2084-5 Fuseishicho,Takamatsu,761-8071,34.311817,134.060342
21964-209884,Company Owned,3010-3 Otashimomachi,Takamatsu,761-8073,34.304067,134.051766
59345-293562,Company Owned,608-1 Sanjocho,Takamatsu,761-8072,34.315954,134.043018
30369-76569,Company Owned,608-1 Chusho Sanjocho,Takamatsu,761-8072,34.316931,134.042308
30331-68342,Company Owned,1-3-1 Tokiwacho,Takamatsu,760-0054,34.339256,134.052531
30329-67282,Company Owned,6-1 Marugamemachi,Takamatsu,760-0029,34.343001,134.049729
55832-289734,Company Owned,1-20 Hamanocho,Takamatsu,760-0011,34.350685,134.046641
30491-157667,Company Owned,31-1 Nagasa Nakano,Wakayama,640-8535,34.254308,135.138803
30574-96895,Company Owned,1469-1 Mukaiunoshima Matsue,Wakayama,640-8421,34.238844,135.153442
66373-300902,Company Owned,1-7-87 Nishitakamatsu,Wakayama,641-0051,34.209014,135.170376
31661-117266,Company Owned,1-1 Kozaihonmachi,Takamatsu,761-8012,34.351625,134.004175
21876-213085,Company Owned,573 Kusudani Naka,Wakayama,640-8451,34.275221,135.149263
31471-108703,Company Owned,811-1 Kimiidera,Wakayama,641-0012,34.188016,135.181659
59014-291270,Licensed,17 Byobucho,Wakayama,640-8203,34.236204,135.167435
57491-291595,Company Owned,822-1 Kayahara,Ayagawa-cho,761-2304,34.251687,133.93069
60771-291746,Company Owned,1525-6 Hikata,Kainan,642-0002,34.155214,135.209206
48369-260027,Company Owned,174-5 Kozaki,Wakayma,640-8314,34.215504,135.201213
3691-146089,Company Owned,2568 Iwaya,Awaji,656-2401,34.584207,135.017254
24237-236766,Licensed,3-21-2 Hama,Utazu-cho,769-0203,34.310908,133.812987
63300-297109,Licensed,2-4-11 Otecho,Marugame,763-0034,34.289463,133.797546
49326-259570,Company Owned,9-3 Omachi,Iwade,649-6228,34.261455,135.321047
60766-293818,Company Owned,179-3 Shindencho,Marugame,763-0055,34.274885,133.78583
60291-294518,Company Owned,3-201 Rinkuminamihama,Sennan,590-0535,34.381103,135.264251
30565-96813,Company Owned,3-12 Rinkuuminamihama,Sennan,590-0535,34.380734,135.267556
31053-105575,Company Owned,1 Senshukukonaka,Tajiri-cho,549-0011,34.43446,135.243265
30999-104912,Company Owned,1 Senshukukonaka,Tajiri-cho,549-0011,34.434138,135.244623
31158-106523,Company Owned,1 Senshukukonaka,Tajiri-cho,549-0011,34.434896,135.244513
30555-96622,Company Owned,1 Senshukukokita,Izumisano,549-0001,34.434644,135.245427
27388-247469,Company Owned,1-1-23 Oakashicho,Akashi,673-0891,34.648998,134.992599
30156-28288,Company Owned,1-3-2 Yurinokidori Okubocho,Akashi,674-0068,34.681571,134.938773
